#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-69473	G2/M DNA damage checkpoint	4	78	1.7	2.83e-05	9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000371267,9606.ENSP00000371475	RPA1,TP53,YWHAQ,TP53BP1
HSA-6804757	Regulation of TP53 Degradation	3	35	1.92	0.00012	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	MDM2,TP53,MDM4
HSA-3108232	SUMO E3 ligases SUMOylate target proteins	4	154	1.41	0.00025	9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371475	RPA1,MDM2,TP53,TP53BP1
HSA-109581	Apoptosis	4	162	1.38	0.00026	9606.ENSP00000269305,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000371267	TP53,HIST1H1C,CTNNB1,YWHAQ
HSA-69541	Stabilization of p53	3	53	1.74	0.00026	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	MDM2,TP53,MDM4
HSA-3371453	Regulation of HSF1-mediated heat shock response	3	65	1.65	0.00040	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000310670	SIRT1,RPA1,CCAR2
HSA-198323	AKT phosphorylates targets in the cytosol	2	14	2.15	0.00099	9606.ENSP00000255977,9606.ENSP00000258149	MKRN1,MDM2
HSA-2559580	Oxidative Stress Induced Senescence	3	92	1.5	0.00099	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	MDM2,TP53,MDM4
HSA-8878159	Transcriptional regulation by RUNX3	3	91	1.51	0.00099	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000344456	MDM2,TP53,CTNNB1
HSA-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	2	16	2.09	0.0012	9606.ENSP00000269305,9606.ENSP00000339566	TP53,HIST1H1C
HSA-114452	Activation of BH3-only proteins	2	29	1.83	0.0034	9606.ENSP00000269305,9606.ENSP00000371267	TP53,YWHAQ
HSA-5693532	DNA Double-Strand Break Repair	3	147	1.3	0.0034	9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000371475	RPA1,TP53,TP53BP1
HSA-5689880	Ub-specific processing proteases	3	202	1.16	0.0078	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	MDM2,TP53,MDM4
HSA-75153	Apoptotic execution phase	2	51	1.58	0.0089	9606.ENSP00000339566,9606.ENSP00000344456	HIST1H1C,CTNNB1
HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	2	59	1.52	0.0115	9606.ENSP00000269305,9606.ENSP00000371475	TP53,TP53BP1
HSA-1257604	PIP3 activates AKT signaling	3	242	1.08	0.0116	9606.ENSP00000255977,9606.ENSP00000258149,9606.ENSP00000269305	MKRN1,MDM2,TP53
HSA-5693607	Processing of DNA double-strand break ends	2	81	1.38	0.0178	9606.ENSP00000254719,9606.ENSP00000371475	RPA1,TP53BP1
HSA-5628897	TP53 Regulates Metabolic Genes	2	83	1.37	0.0182	9606.ENSP00000269305,9606.ENSP00000371267	TP53,YWHAQ
HSA-5663202	Diseases of signal transduction	3	360	0.91	0.0302	9606.ENSP00000258149,9606.ENSP00000338272,9606.ENSP00000344456	MDM2,HEY1,CTNNB1
HSA-6807070	PTEN Regulation	2	135	1.16	0.0423	9606.ENSP00000255977,9606.ENSP00000269305	MKRN1,TP53
