#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0047485	protein N-terminus binding	3	109	1.43	0.0034	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371267	MDM2,TP53,YWHAQ
GO:0019903	protein phosphatase binding	3	123	1.38	0.0044	9606.ENSP00000269305,9606.ENSP00000344456,9606.ENSP00000425133	TP53,CTNNB1,SMG7
GO:0035035	histone acetyltransferase binding	2	27	1.86	0.0054	9606.ENSP00000269305,9606.ENSP00000329357	TP53,SP1
GO:0043425	bHLH transcription factor binding	2	29	1.83	0.0058	9606.ENSP00000212015,9606.ENSP00000329357	SIRT1,SP1
GO:0051721	protein phosphatase 2A binding	2	29	1.83	0.0058	9606.ENSP00000269305,9606.ENSP00000425133	TP53,SMG7
GO:0003676	nucleic acid binding	10	3332	0.47	0.0073	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000371475,9606.ENSP00000425133	SIRT1,RPA1,MDM2,TP53,HEXIM1,SP1,HEY1,HIST1H1C,TP53BP1,SMG7
GO:0005488	binding	19	11878	0.19	0.0073	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000255977,9606.ENSP00000258149,9606.ENSP00000263212,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000319192,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371267,9606.ENSP00000371475,9606.ENSP00000406037,9606.ENSP00000425133	SIRT1,RPA1,MKRN1,MDM2,PPM1F,TP53,CCAR2,STK17A,HEXIM1,SP1,HEY1,HIST1H1C,CTNNB1,MDM4,TP53RK,YWHAQ,TP53BP1,KAT8,SMG7
GO:0001099	basal RNA polymerase II transcription machinery binding	2	39	1.7	0.0076	9606.ENSP00000269305,9606.ENSP00000310670	TP53,CCAR2
GO:0001102	RNA polymerase II activating transcription factor binding	2	39	1.7	0.0076	9606.ENSP00000344456,9606.ENSP00000371475	CTNNB1,TP53BP1
GO:0042393	histone binding	3	188	1.19	0.0076	9606.ENSP00000212015,9606.ENSP00000371475,9606.ENSP00000406037	SIRT1,TP53BP1,KAT8
GO:0008022	protein C-terminus binding	3	194	1.18	0.0080	9606.ENSP00000212015,9606.ENSP00000329357,9606.ENSP00000344456	SIRT1,SP1,CTNNB1
GO:0061630	ubiquitin protein ligase activity	3	215	1.14	0.0103	9606.ENSP00000255977,9606.ENSP00000258149,9606.ENSP00000356150	MKRN1,MDM2,MDM4
GO:0003677	DNA binding	8	2457	0.5	0.0124	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000371475,9606.ENSP00000425133	SIRT1,RPA1,TP53,SP1,HEY1,HIST1H1C,TP53BP1,SMG7
GO:0035064	methylated histone binding	2	59	1.52	0.0124	9606.ENSP00000371475,9606.ENSP00000406037	TP53BP1,KAT8
GO:0070491	repressing transcription factor binding	2	60	1.51	0.0124	9606.ENSP00000329357,9606.ENSP00000344456	SP1,CTNNB1
GO:1901363	heterocyclic compound binding	12	5305	0.34	0.0126	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000319192,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000361186,9606.ENSP00000371475,9606.ENSP00000425133	SIRT1,RPA1,MDM2,TP53,STK17A,HEXIM1,SP1,HEY1,HIST1H1C,TP53RK,TP53BP1,SMG7
GO:0097159	organic cyclic compound binding	12	5382	0.34	0.0139	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000319192,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000361186,9606.ENSP00000371475,9606.ENSP00000425133	SIRT1,RPA1,MDM2,TP53,STK17A,HEXIM1,SP1,HEY1,HIST1H1C,TP53RK,TP53BP1,SMG7
GO:0044877	protein-containing complex binding	5	968	0.7	0.0140	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000425133	SIRT1,MDM2,TP53,CCAR2,SMG7
GO:0005515	protein binding	13	6607	0.28	0.0232	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371267,9606.ENSP00000371475,9606.ENSP00000406037,9606.ENSP00000425133	SIRT1,MDM2,TP53,CCAR2,SP1,HEY1,CTNNB1,MDM4,TP53RK,YWHAQ,TP53BP1,KAT8,SMG7
GO:0140096	catalytic activity, acting on a protein	7	2176	0.5	0.0234	9606.ENSP00000212015,9606.ENSP00000255977,9606.ENSP00000258149,9606.ENSP00000263212,9606.ENSP00000319192,9606.ENSP00000356150,9606.ENSP00000361186	SIRT1,MKRN1,MDM2,PPM1F,STK17A,MDM4,TP53RK
GO:0042826	histone deacetylase binding	2	110	1.25	0.0297	9606.ENSP00000269305,9606.ENSP00000329357	TP53,SP1
GO:0043021	ribonucleoprotein complex binding	2	116	1.23	0.0312	9606.ENSP00000258149,9606.ENSP00000425133	MDM2,SMG7
GO:1990837	sequence-specific double-stranded DNA binding	4	747	0.72	0.0312	9606.ENSP00000212015,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272	SIRT1,TP53,SP1,HEY1
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3	408	0.86	0.0365	9606.ENSP00000212015,9606.ENSP00000269305,9606.ENSP00000329357	SIRT1,TP53,SP1
GO:0003723	RNA binding	4	850	0.66	0.0413	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000328773,9606.ENSP00000425133	MDM2,TP53,HEXIM1,SMG7
GO:0035257	nuclear hormone receptor binding	2	149	1.12	0.0416	9606.ENSP00000212015,9606.ENSP00000344456	SIRT1,CTNNB1
