#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0050790	regulation of catalytic activity	9	2249	0.78	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,MAP2K7,MAP3K1
GO:0060545	positive regulation of necroptotic process	2	2	3.18	4.95e-05	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
GO:2000112	regulation of cellular macromolecule biosynthetic process	11	4050	0.61	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7
GO:2000452	regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation	2	2	3.18	4.95e-05	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0031401	positive regulation of protein modification process	7	1149	0.96	5.54e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,MAP2K7,MAP3K1
GO:0002758	innate immune response-activating signal transduction	4	168	1.55	6.39e-05	9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	KRAS,RIPK1,FADD,MAP3K1
GO:2001235	positive regulation of apoptotic signaling pathway	4	171	1.55	6.42e-05	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,DAB2IP,RIPK1,FADD
GO:0051171	regulation of nitrogen compound metabolic process	12	5827	0.49	7.07e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0080090	regulation of primary metabolic process	12	5982	0.48	8.91e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0080134	regulation of response to stress	7	1299	0.91	9.72e-05	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,FADD,HIPK3,MAP2K7,MAP3K1
GO:0031323	regulation of cellular metabolic process	12	6082	0.47	0.00010	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0060255	regulation of macromolecule metabolic process	12	6072	0.47	0.00010	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0070235	regulation of activation-induced cell death of T cells	2	5	2.78	0.00011	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0006355	regulation of transcription, DNA-templated	10	3661	0.61	0.00012	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1
GO:0043085	positive regulation of catalytic activity	7	1381	0.88	0.00013	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MAP2K7,MAP3K1
GO:0050776	regulation of immune response	6	873	1.01	0.00013	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MAP3K1
GO:0097527	necroptotic signaling pathway	2	6	2.7	0.00014	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0006796	phosphate-containing compound metabolic process	8	2065	0.77	0.00015	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,HIPK3,MAP2K7,MAP3K1
GO:0006915	apoptotic process	6	915	0.99	0.00016	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000381070	RIPK3,DAB2IP,RIPK1,FADD,HIPK3,MAP2K7
GO:0007249	I-kappaB kinase/NF-kappaB signaling	3	70	1.81	0.00016	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808	RIPK3,DAB2IP,RIPK1
GO:0006464	cellular protein modification process	9	2999	0.65	0.00019	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,HIPK3,SMURF1,MAP2K7,MAP3K1
GO:0071550	death-inducing signaling complex assembly	2	8	2.58	0.00019	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0002224	toll-like receptor signaling pathway	3	87	1.72	0.00026	9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	RIPK1,FADD,MAP3K1
GO:0034138	toll-like receptor 3 signaling pathway	2	10	2.48	0.00026	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:1990000	amyloid fibril formation	2	10	2.48	0.00026	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
GO:0019538	protein metabolic process	10	4194	0.55	0.00029	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,SMURF1,MAP2K7,MAP3K1
GO:0097191	extrinsic apoptotic signaling pathway	3	93	1.69	0.00029	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	DAB2IP,RIPK1,FADD
GO:0080135	regulation of cellular response to stress	5	618	1.09	0.00030	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070	KRAS,DAB2IP,RIPK1,HIPK3,MAP2K7
GO:0097190	apoptotic signaling pathway	4	295	1.31	0.00031	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,DAB2IP,RIPK1,FADD
GO:0043900	regulation of multi-organism process	5	653	1.06	0.00038	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,FADD,MAP3K1
GO:0045651	positive regulation of macrophage differentiation	2	14	2.33	0.00042	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0009968	negative regulation of signal transduction	6	1160	0.89	0.00045	9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000354621	DUSP26,DAB2IP,RIPK1,FADD,HIPK3,SMURF1
GO:0045862	positive regulation of proteolysis	4	347	1.24	0.00052	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621	DAB2IP,RIPK1,FADD,SMURF1
GO:0043170	macromolecule metabolic process	12	7453	0.38	0.00062	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0048535	lymph node development	2	18	2.22	0.00062	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0007165	signal transduction	10	4738	0.5	0.00072	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MLKL,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0043902	positive regulation of multi-organism process	4	394	1.18	0.00077	9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	KRAS,RIPK1,FADD,MAP3K1
GO:0051092	positive regulation of NF-kappaB transcription factor activity	3	142	1.5	0.00079	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808	RIPK3,KRAS,RIPK1
GO:0051090	regulation of DNA-binding transcription factor activity	4	403	1.17	0.00083	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808	RIPK3,KRAS,DAB2IP,RIPK1
GO:0035666	TRIF-dependent toll-like receptor signaling pathway	2	24	2.1	0.00092	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0001914	regulation of T cell mediated cytotoxicity	2	25	2.08	0.00098	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0043409	negative regulation of MAPK cascade	3	158	1.46	0.0010	9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000304226	DUSP26,DAB2IP,HIPK3
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	3	167	1.43	0.0012	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	DAB2IP,RIPK1,FADD
GO:0044260	cellular macromolecule metabolic process	11	6413	0.41	0.0012	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0007166	cell surface receptor signaling pathway	7	2198	0.68	0.0014	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000354621,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,FADD,MLKL,SMURF1,MAP3K1
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	2	32	1.97	0.0015	9606.ENSP00000259371,9606.ENSP00000301838	DAB2IP,FADD
GO:0043029	T cell homeostasis	2	33	1.96	0.0015	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0048536	spleen development	2	34	1.95	0.0016	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0048872	homeostasis of number of cells	3	193	1.37	0.0016	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000301838	RIPK3,KRAS,FADD
GO:0006807	nitrogen compound metabolic process	12	8349	0.34	0.0017	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	2	36	1.92	0.0017	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:1902532	negative regulation of intracellular signal transduction	4	514	1.07	0.0017	9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226	DUSP26,DAB2IP,RIPK1,HIPK3
GO:0046006	regulation of activated T cell proliferation	2	37	1.91	0.0018	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0050794	regulation of cellular process	13	10484	0.27	0.0018	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,MLKL,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0034612	response to tumor necrosis factor	3	217	1.32	0.0022	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070	DAB2IP,RIPK1,MAP2K7
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	2	42	1.86	0.0022	9606.ENSP00000259371,9606.ENSP00000259808	DAB2IP,RIPK1
GO:0033077	T cell differentiation in thymus	2	44	1.84	0.0024	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0048538	thymus development	2	44	1.84	0.0024	9606.ENSP00000216274,9606.ENSP00000301838	RIPK3,FADD
GO:0045595	regulation of cell differentiation	6	1695	0.73	0.0025	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000314709,9606.ENSP00000354621	KRAS,DAB2IP,RIPK1,FADD,ZHX2,SMURF1
GO:0032757	positive regulation of interleukin-8 production	2	48	1.8	0.0028	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0010557	positive regulation of macromolecule biosynthetic process	6	1758	0.71	0.0030	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000381070	RIPK3,DAB2IP,RIPK1,FADD,MAFA,MAP2K7
GO:0044238	primary metabolic process	12	8808	0.31	0.0030	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	6	1770	0.71	0.0030	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000381070	RIPK3,DAB2IP,RIPK1,FADD,MAFA,MAP2K7
GO:0051353	positive regulation of oxidoreductase activity	2	50	1.78	0.0030	9606.ENSP00000216274,9606.ENSP00000256078	RIPK3,KRAS
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	2	51	1.77	0.0030	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0006469	negative regulation of protein kinase activity	3	254	1.25	0.0031	9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000304226	DUSP26,DAB2IP,HIPK3
GO:0035306	positive regulation of dephosphorylation	2	53	1.75	0.0031	9606.ENSP00000216274,9606.ENSP00000256261	RIPK3,DUSP26
GO:0006357	regulation of transcription by RNA polymerase II	7	2633	0.6	0.0034	9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621	DUSP26,DAB2IP,RIPK1,FADD,ZHX2,MAFA,SMURF1
GO:0031328	positive regulation of cellular biosynthetic process	6	1846	0.69	0.0035	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000381070	RIPK3,DAB2IP,RIPK1,FADD,MAFA,MAP2K7
GO:0070373	negative regulation of ERK1 and ERK2 cascade	2	65	1.67	0.0044	9606.ENSP00000256261,9606.ENSP00000259371	DUSP26,DAB2IP
GO:0032760	positive regulation of tumor necrosis factor production	2	67	1.65	0.0046	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
GO:0010033	response to organic substance	7	2815	0.57	0.0048	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070	KRAS,DAB2IP,RIPK1,FADD,MAFA,SMURF1,MAP2K7
GO:0051094	positive regulation of developmental process	5	1286	0.77	0.0049	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621	KRAS,DAB2IP,RIPK1,FADD,SMURF1
GO:0051260	protein homooligomerization	3	312	1.16	0.0050	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000308351	RIPK3,RIPK1,MLKL
GO:0043407	negative regulation of MAP kinase activity	2	72	1.62	0.0051	9606.ENSP00000259371,9606.ENSP00000304226	DAB2IP,HIPK3
